,CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
3066,13-27-0080-46,13-049,7,2,instituto mayance aguacateco,4ta calle 3-35 zona 3,['77660002'],iliana argentina villatoro funes de agustin,mariano rodraguez alcan,0,3,2,CERRADA TEMPORALMENTE,1,0,3,HUEHUETENANGO
3067,13-27-0082-46,13-048,7,2,colegio evangalico belan,7a. avenida 3-40 zona 1,['32557035'],carlos vicente cardona martinez,siman gaspar marquan raymundo,0,3,0,ABIERTA,1,5,1,HUEHUETENANGO
3068,13-27-0083-46,13-060,7,2,centro de educacian extraescolar ceex,"aldea patzalam, caserao agua blanca",['32514020'],aroldo hosberi sosa lapez,onelia abigail cardona hernandez,0,3,0,CERRADA TEMPORALMENTE,1,0,1,HUEHUETENANGO
3069,13-27-0085-46,13-049,7,2,instituto mayance aguacateco,"4ta. calle 3-35, zona 3",['77660002'],iliana argentina villatoro funes de agustin,mariano rodraguez alcan,0,3,2,ABIERTA,1,5,1,HUEHUETENANGO
3070,13-27-0088-46,13-049,7,2,instituto mayance aguacateco,"4a. calle 3-35, zona 3",['77660002'],iliana argentina villatoro funes de agustin,mariano rodraguez alcan,0,3,2,ABIERTA,1,4,11,HUEHUETENANGO
3071,13-27-1511-46,13-049,7,2,instituto mayance aguacateco,"4a. calle 3-35, zona 3 aguacatan","['77660002', '53495743']",iliana argentina villatoro funes de agustin,alberto rodraguez hernandez,0,3,2,CERRADA TEMPORALMENTE,1,0,1,HUEHUETENANGO
3072,13-27-6189-46,25-000,7,2,instituto guatemalteco de educacion radiofonica (iger),aguacatan,,sonia haydee reyes monterroso,,0,3,2,CERRADA TEMPORALMENTE,1,2,0,HUEHUETENANGO
3073,13-27-6753-46,13-049,7,2,instituto privado de educacion por madurez ipem,2a. av. 2-31 zona 3,['77660149'],iliana argentina villatoro funes de agustin,,0,3,2,CERRADA TEMPORALMENTE,1,0,3,HUEHUETENANGO
3074,13-27-6878-46,13-049,7,2,instituto mayance aguacateco,4ta. calle 3-35 zona 3,,iliana argentina villatoro funes de agustin,,0,3,2,CERRADA TEMPORALMENTE,0,2,1,HUEHUETENANGO
3075,13-27-7032-46,13-049,7,2,colegio privado el nuevo millenium,3a. avenida 3-01 zona 1,['77568072'],iliana argentina villatoro funes de agustin,martin eleonor de lean vasquez,0,3,2,CERRADA TEMPORALMENTE,1,5,1,HUEHUETENANGO
3076,13-28-0014-46,13-035,7,254,asociacion de maestros de educacion rural de guatemala -amerg-,cabecera municipal,,leonel armando ortaz mandez,mildred iliana lopez domingo,0,3,2,CERRADA TEMPORALMENTE,0,0,3,HUEHUETENANGO
3077,13-28-0016-46,13-034,7,254,asociacian de maestros de educacian rural de guatemala amerg,cabecera municipal,['40457686'],artemio noe morales villatoro,mildred iliana lapez domingo,0,3,2,CERRADA TEMPORALMENTE,0,5,1,HUEHUETENANGO
3078,13-28-0018-46,13-035,7,254,instituto privado mixto petzalense,cabecera municipal,['40457686'],leonel armando ortaz mandez,mildred iliana lopez domingo,0,3,2,ABIERTA,0,5,1,HUEHUETENANGO
3079,13-30-0014-46,13-057,7,291,colegio de educacion formal integral por madurez ciencia y tecnologia,cabecera municipal,['49674403'],juan velasquez hernandez,bayron fidel martinez villatoro,0,3,2,CERRADA TEMPORALMENTE,1,0,3,HUEHUETENANGO
3080,13-30-0017-46,13-057,7,291,colegio intercultural privado mixto ciencia aplicada,cabecera municipal,['77649591'],juan velasquez hernandez,edgar rolando aguilar aguilar,0,3,2,CERRADA TEMPORALMENTE,1,0,3,HUEHUETENANGO
3081,13-30-0018-46,13-057,7,291,colegio intercultural privado mixto ciencia aplicada,cabecera municipal,['53431017'],juan velasquez hernandez,edgar rolando aguilar aguilar,0,3,2,CERRADA TEMPORALMENTE,1,0,3,HUEHUETENANGO
3082,13-30-0029-46,13-057,7,291,instituto privado mixto chimbal,cabecera municipal,['40203253'],juan velasquez hernandez,marixa daaz hernandez,0,3,2,CERRADA TEMPORALMENTE,0,5,1,HUEHUETENANGO
3083,13-30-6606-46,13-057,7,291,instituto privado mixto chimb al,santiago chimaltenango,,juan velasquez hernandez,marixa daaz hernandez,0,3,2,CERRADA TEMPORALMENTE,0,0,1,HUEHUETENANGO
3084,13-31-0019-46,13-058,7,264,instituto nacional de educacion diversificada,canton san juan,['32623741'],carlos heriberto estrada anzueto,gelvin ely morales de arcia,0,2,2,ABIERTA,1,5,1,HUEHUETENANGO
3085,13-31-7034-46,13-041,7,264,instituto privado mixto aurelio baldor,cabecera municipal,,kelvin vidalin del valle mazariegos,,0,3,2,CERRADA TEMPORALMENTE,1,5,1,HUEHUETENANGO
